gender,study_hours_per_day,social_media_hours_per_day,attendance_percentage,sleep_hours_per_day,parent_education_level,extra_curricular_activities,part_time_job,score
Female,3.1,5.2,40.4,8.7,Master,Clubs,No,39.0
Other,9.8,2.3,99.4,6.2,Master,Clubs,No,78.5
Other,10.6,2.4,17.5,5.4,Bachelor,Clubs,No,55.4
Other,6.3,7.1,67.3,8.0,High School,Sports,Yes,41.3
Female,2.9,0.1,17.3,5.2,Bachelor,Multiple,Yes,18.3
Female,1.4,2.6,72.5,9.4,Bachelor,None,Yes,13.6
Female,1.0,4.4,50.5,4.6,Bachelor,Clubs,No,10.3
Female,8.6,1.2,68.0,8.2,Bachelor,Sports,No,68.3
Female,5.0,0.7,20.3,7.0,High School,Sports,No,35.6
Female,10.9,6.5,74.6,9.2,High School,Arts,No,64.2
Female,8.9,7.2,99.6,4.8,Bachelor,Clubs,No,53.9
Other,2.3,6.6,66.6,8.1,High School,Clubs,No,23.7
Other,7.4,7.2,49.3,7.4,Bachelor,Arts,No,45.4
Other,5.2,4.4,92.3,6.9,Master,Sports,No,50.4
Other,6.9,6.5,1.6,6.9,Master,Multiple,No,33.5
Female,8.9,3.1,73.0,8.3,Bachelor,Sports,No,61.2
Male,9.7,5.3,88.9,9.6,Bachelor,Clubs,No,53.6
Female,10.1,7.9,6.2,4.5,None,Arts,No,27.5
Male,3.0,1.8,45.0,4.1,Bachelor,Sports,No,25.2
Other,0.4,3.1,20.5,8.8,Bachelor,None,Yes,10.0
Female,8.9,3.8,56.7,4.6,Bachelor,Sports,No,52.9
Other,1.3,1.1,65.0,9.9,Master,Sports,Yes,23.3
Female,3.8,0.6,30.3,7.7,Bachelor,None,Yes,24.3
Other,0.0,6.6,46.0,7.9,None,None,No,10.0
Male,8.2,7.8,27.9,5.2,High School,Sports,No,23.0
Male,2.0,3.2,36.9,5.4,Bachelor,Arts,No,15.4
Male,7.9,0.7,16.0,8.0,Bachelor,Clubs,No,43.8
Female,11.9,0.5,88.6,9.5,Master,None,Yes,82.3
Male,0.9,7.1,1.0,9.9,Bachelor,Sports,Yes,10.0
Female,0.9,3.7,88.2,5.2,Bachelor,Sports,No,22.2
Male,4.1,2.6,57.2,4.8,Bachelor,Arts,No,25.6
Male,10.4,3.8,33.2,4.3,Bachelor,Clubs,Yes,53.6
Female,2.6,2.5,72.3,9.2,Bachelor,Arts,No,39.7
Female,4.3,3.9,50.8,5.8,Bachelor,Clubs,No,23.3
Male,0.8,6.9,49.9,4.0,Bachelor,Arts,No,10.0
Female,9.2,4.7,11.0,5.3,High School,Arts,No,37.4
Male,4.9,5.6,39.0,6.0,Master,Sports,No,30.0
Female,9.1,2.9,24.1,9.9,High School,Clubs,No,34.1
Other,10.8,5.9,1.6,7.1,High School,Multiple,No,38.8
Other,2.8,5.3,36.0,5.2,High School,Arts,Yes,10.0
Other,9.7,1.0,9.0,6.0,None,Clubs,No,42.9
Other,0.7,4.6,25.7,6.0,Bachelor,None,No,10.0
Other,10.8,2.1,9.3,4.1,High School,Multiple,Yes,50.9
Male,7.8,6.4,10.1,4.8,None,None,Yes,11.3
Other,10.5,3.4,19.9,8.2,Bachelor,Sports,No,52.8
Other,0.0,8.0,100.0,4.7,Bachelor,None,No,10.0
Other,2.0,0.7,0.2,5.4,High School,Multiple,No,10.6
Other,4.7,6.2,63.9,6.1,Bachelor,Multiple,Yes,28.6
Female,4.6,5.4,14.1,8.5,Bachelor,Multiple,No,20.5
Male,2.7,6.1,92.1,7.5,PhD,Clubs,No,32.9
Other,4.6,2.5,9.4,8.1,Bachelor,Arts,Yes,32.3
Other,1.5,3.9,95.5,7.4,High School,Multiple,No,47.4
Other,5.0,6.4,61.1,8.1,Bachelor,Multiple,Yes,36.2
Male,9.6,1.9,0.1,4.0,Bachelor,Arts,Yes,45.5
Female,5.7,1.8,89.4,9.6,High School,None,No,45.3
Male,0.2,4.4,52.2,4.7,Master,Clubs,No,11.8
Female,5.1,4.2,26.3,6.4,Bachelor,Multiple,Yes,31.4
Other,0.3,2.3,76.7,8.6,PhD,Multiple,No,31.5
Other,11.6,2.4,92.7,6.6,Bachelor,Multiple,Yes,79.9
Male,1.5,2.2,48.4,9.7,Bachelor,Multiple,Yes,15.5
Male,8.5,6.2,31.6,6.8,Bachelor,Multiple,No,44.8
Female,11.7,5.2,78.9,9.2,Bachelor,Clubs,No,68.7
Female,9.9,6.7,68.2,8.9,Bachelor,Clubs,Yes,55.1
Male,8.4,7.8,88.9,9.9,Master,Sports,No,50.7
Female,10.1,3.8,69.3,9.6,Bachelor,Arts,Yes,63.5
Male,11.8,0.5,24.4,9.4,Master,Arts,No,66.5
Female,7.5,0.4,93.2,8.4,Master,Multiple,No,78.0
Male,6.7,2.4,10.5,6.2,PhD,Arts,No,50.3
Male,7.5,7.5,26.8,4.6,Bachelor,None,Yes,17.6
Male,6.4,4.2,52.0,8.1,Bachelor,None,No,47.7
Female,7.6,2.2,56.6,9.9,High School,Clubs,No,47.7
Female,5.4,3.2,1.5,8.4,Bachelor,Arts,No,30.4
Female,2.6,4.8,78.1,9.6,High School,Sports,No,26.6
Male,1.4,5.2,36.2,8.8,High School,None,No,10.0
Female,0.8,1.2,40.6,5.0,High School,Arts,No,10.0
Female,3.2,7.8,80.9,5.5,Master,None,No,25.9
Male,0.6,4.4,37.9,6.1,Master,Sports,No,10.4
Other,6.8,1.1,4.7,5.0,Bachelor,Sports,No,30.7
Male,3.4,7.1,17.6,7.5,Bachelor,Arts,No,19.0
Female,9.9,0.6,95.6,9.9,Bachelor,Arts,No,68.8
Male,0.9,7.3,7.0,8.6,Bachelor,Sports,No,10.0
Other,2.7,8.0,35.5,6.5,Bachelor,Multiple,No,19.5
Male,8.8,5.6,50.3,4.0,High School,Sports,No,39.9
Female,7.2,6.2,49.3,5.9,High School,Sports,No,42.0
Other,0.8,2.7,0.4,7.2,Bachelor,None,No,10.0
Female,10.5,7.5,50.1,5.9,Bachelor,Sports,No,58.4
Other,10.5,4.2,38.4,4.7,Bachelor,None,No,51.1
Other,4.0,5.9,97.2,6.7,PhD,None,No,38.0
Male,4.1,7.4,15.9,5.5,High School,Arts,No,10.7
Male,11.9,7.8,35.4,9.5,High School,Arts,Yes,45.8
Female,7.5,6.7,41.9,4.6,Bachelor,Arts,No,41.5
Male,6.4,2.4,39.1,4.3,None,Clubs,No,26.1
Male,10.1,7.7,66.6,4.0,High School,None,No,41.6
Other,3.4,5.0,21.6,6.0,High School,Multiple,Yes,18.2
Male,5.2,7.4,22.1,8.0,Bachelor,None,No,35.5
Other,3.2,5.4,72.9,8.4,High School,Clubs,No,35.9
Other,9.5,2.5,50.0,6.7,Bachelor,None,Yes,59.4
Other,6.9,3.0,41.5,8.1,Bachelor,Multiple,Yes,42.1
Female,7.9,4.4,16.9,6.2,High School,Arts,No,35.6
Female,3.0,6.3,18.8,8.0,Master,None,No,14.6
Female,2.6,2.5,1.1,4.2,High School,Arts,Yes,10.0
Other,5.9,4.6,9.1,6.3,Master,None,No,32.7
Female,8.9,2.8,55.7,8.7,PhD,Clubs,No,67.0
Female,6.3,6.5,89.2,8.8,High School,Clubs,No,53.9
Male,0.4,3.7,28.7,8.3,Master,Sports,No,15.0
Female,10.4,0.6,32.8,5.2,Master,Sports,No,67.8
Female,0.8,1.3,11.6,5.5,Master,None,No,10.0
Other,11.5,0.5,38.9,10.0,Bachelor,Clubs,Yes,69.4
Other,0.3,4.0,3.7,4.6,High School,Sports,Yes,10.0
Other,8.3,0.9,91.8,5.1,Master,Arts,No,67.9
Other,1.0,0.9,67.3,4.8,High School,Multiple,Yes,15.3
Other,10.9,7.5,99.1,6.0,High School,Sports,No,70.4
Other,5.6,7.0,88.3,5.3,High School,Multiple,Yes,35.5
Female,1.7,3.6,47.3,7.0,High School,Arts,Yes,23.2
Other,4.1,7.9,52.0,6.9,Bachelor,Sports,No,16.0
Other,2.0,0.0,19.1,9.4,Bachelor,Sports,No,18.4
Male,2.0,4.9,46.2,4.2,Master,Clubs,No,19.0
Female,11.4,4.9,90.3,5.9,High School,Sports,Yes,60.8
Female,5.3,3.7,5.1,7.6,PhD,None,Yes,30.9
Female,9.5,3.2,86.4,7.6,Master,None,No,62.5
Other,7.7,3.6,34.1,6.9,High School,Clubs,No,41.9
Other,8.1,3.3,90.0,8.9,High School,Arts,No,71.4
Other,1.6,5.8,94.1,4.4,Master,Arts,Yes,23.9
Male,2.8,1.1,67.1,8.9,Bachelor,None,No,35.7
Other,9.4,1.6,66.4,7.0,Master,Clubs,No,71.8
Male,11.6,1.4,45.3,4.8,Bachelor,Multiple,No,66.7
Female,3.2,2.1,83.6,9.3,Bachelor,None,No,41.3
Other,3.3,4.2,96.2,7.9,None,None,No,40.6
Male,5.7,0.9,77.5,5.0,Bachelor,Multiple,No,54.2
Male,11.8,6.9,62.2,4.2,None,Clubs,No,55.5
Other,3.2,2.4,60.7,4.8,Bachelor,Arts,No,26.1
Female,4.9,1.3,84.9,7.7,Master,Multiple,Yes,49.6
Female,10.7,5.4,54.1,5.1,Bachelor,Arts,Yes,54.4
Female,0.0,0.3,80.4,5.4,PhD,Sports,No,18.6
Male,0.5,5.0,50.9,4.2,Bachelor,Clubs,Yes,10.0
Male,7.2,5.6,6.2,8.3,Bachelor,Arts,Yes,21.9
Male,10.9,1.7,38.4,8.9,Bachelor,Multiple,No,71.9
Male,2.9,0.3,44.4,8.8,PhD,Sports,No,32.8
Female,5.6,2.9,14.2,4.8,Bachelor,Arts,No,28.4
Other,5.4,0.8,10.2,9.4,High School,Clubs,No,21.0
Male,5.7,0.9,53.5,8.0,PhD,Sports,No,53.5
Male,7.5,2.0,8.5,9.4,Bachelor,Sports,No,34.1
Female,5.6,2.4,30.3,6.7,High School,Multiple,No,35.3
Other,5.4,4.2,74.5,6.6,Bachelor,Sports,Yes,39.2
Other,5.7,5.4,96.4,8.7,Master,Arts,Yes,44.8
Female,7.1,4.7,71.8,4.6,Bachelor,Multiple,No,47.8
Female,6.4,1.2,99.3,7.1,High School,Sports,Yes,64.8
Other,10.2,1.4,69.8,9.0,Master,Multiple,Yes,78.6
Male,0.6,7.0,29.4,9.0,Master,Clubs,Yes,10.0
Other,10.0,4.5,67.2,9.7,Bachelor,Arts,No,59.0
Female,10.1,7.0,70.2,8.2,High School,Sports,No,56.4
Male,3.4,3.0,37.2,5.2,High School,Multiple,No,23.2
Male,5.6,4.9,1.8,4.1,Bachelor,Sports,Yes,16.5
Female,5.3,4.2,70.3,6.9,Master,Sports,No,45.1
Female,2.6,2.6,2.2,7.1,High School,Sports,Yes,13.0
Female,4.8,3.8,63.1,5.4,High School,Sports,No,33.1
Other,0.5,4.0,16.4,4.7,High School,Arts,No,10.0
Other,3.3,1.6,56.6,7.5,Bachelor,Multiple,No,32.6
Male,9.8,2.5,50.4,8.6,None,Multiple,No,53.4
Female,3.4,6.3,1.4,10.0,None,Sports,No,10.0
Male,9.8,7.3,36.3,8.5,None,Sports,No,43.2
Male,6.4,2.9,60.1,8.8,Bachelor,Clubs,No,53.2
Male,10.6,2.5,84.9,7.7,Bachelor,None,No,65.4
Male,6.9,1.6,88.9,9.9,High School,Clubs,No,54.8
Female,0.4,5.4,48.4,7.8,Master,Multiple,No,25.3
Male,8.1,2.6,72.8,9.2,High School,Multiple,No,55.0
Female,0.5,7.9,31.6,9.7,High School,Sports,No,10.0
Female,5.4,2.6,34.2,9.6,PhD,Arts,Yes,35.4
Other,11.2,3.2,19.4,6.3,Bachelor,None,No,56.9
Female,2.0,4.8,56.2,4.5,Bachelor,Sports,No,17.1
Other,4.7,6.4,31.5,5.0,High School,Arts,No,17.5
Female,8.8,3.8,8.4,4.4,Master,Multiple,Yes,30.7
Female,10.6,3.4,68.5,4.6,Bachelor,Multiple,No,65.5
Female,8.1,8.0,70.8,5.1,Master,Multiple,No,49.4
Other,3.1,0.1,36.0,6.0,High School,Multiple,No,27.7
Other,8.1,7.2,7.7,7.3,Bachelor,None,No,30.1
Male,3.6,1.2,42.6,8.3,Master,Arts,No,35.9
Other,8.6,6.3,44.2,5.3,PhD,None,No,41.2
Other,11.4,4.9,66.9,8.0,High School,Sports,Yes,62.0
Other,8.7,2.7,31.5,8.2,Master,Arts,No,51.7
Other,10.4,7.0,68.3,7.4,High School,Clubs,No,63.1
Male,0.0,0.1,87.1,9.4,Bachelor,Clubs,No,19.7
Other,8.6,1.8,23.7,4.7,High School,None,No,41.9
Female,10.0,4.5,97.9,5.1,Bachelor,None,No,69.0
Female,0.5,2.8,38.6,6.6,High School,None,No,10.0
Other,10.5,4.9,26.7,4.8,High School,None,No,43.2
Other,3.1,0.2,42.2,7.4,None,None,No,27.1
Female,8.0,0.9,9.4,6.4,High School,Clubs,No,48.6
Female,9.6,1.0,12.6,5.7,Master,Clubs,No,49.7
Male,8.0,1.5,41.4,5.0,PhD,Sports,No,59.0
Female,1.1,3.7,76.2,6.0,Master,Clubs,Yes,34.2
Female,7.2,6.0,90.0,7.6,High School,Sports,No,56.8
Other,6.6,7.2,66.5,7.5,Bachelor,Multiple,No,56.5
Female,10.8,6.7,10.5,5.0,Bachelor,Sports,Yes,29.6
Male,4.9,1.6,67.2,4.7,PhD,Clubs,No,52.4
Female,3.9,3.5,63.5,4.2,Bachelor,Multiple,No,32.1
Other,9.0,1.6,80.6,4.1,Master,Multiple,No,66.9
Other,5.0,2.1,82.5,9.3,PhD,None,No,45.8
Female,7.8,4.0,86.8,4.3,Master,Clubs,No,51.0
Other,7.8,0.5,41.4,8.4,High School,None,No,56.4
Male,10.7,1.7,69.8,9.2,None,None,No,56.1
Male,7.2,7.5,26.8,4.6,Bachelor,None,No,22.0
Female,6.0,3.7,99.9,6.6,Bachelor,Multiple,No,55.6
Female,1.7,3.6,17.5,9.8,High School,Multiple,No,12.1
Female,1.4,0.1,1.0,9.0,High School,Sports,No,15.1
Other,1.9,2.0,14.9,6.9,Master,Arts,Yes,10.0
Male,2.1,6.9,77.6,8.6,Bachelor,Multiple,Yes,21.6
Male,7.7,1.3,44.7,9.0,High School,Arts,No,45.0
Other,8.9,3.3,44.8,6.1,Bachelor,Sports,Yes,53.7
Male,6.4,0.1,95.5,9.4,Bachelor,Arts,No,53.3
Female,9.9,3.8,92.0,6.8,Master,Clubs,No,71.7
Female,11.9,0.2,31.1,7.2,High School,Arts,Yes,76.8
Female,9.8,6.6,20.9,10.0,Bachelor,Clubs,Yes,39.5
Male,8.3,6.6,84.8,9.1,Bachelor,Sports,No,44.9
Female,6.4,6.3,90.6,6.2,High School,Sports,No,52.3
Other,5.4,2.3,54.2,4.1,Master,Sports,No,37.3
Other,1.0,6.7,62.9,7.8,High School,None,No,19.8
Male,4.8,4.3,25.7,8.2,High School,Arts,Yes,22.4
Other,10.9,3.0,80.1,7.9,Bachelor,None,Yes,68.2
Other,9.7,5.0,63.2,9.8,High School,Clubs,No,46.9
Male,2.6,0.1,50.4,9.2,High School,Sports,No,28.1
Female,5.6,1.1,6.0,6.7,Master,Clubs,No,40.0
Female,9.8,5.9,91.6,4.4,High School,Multiple,No,62.6
Female,0.8,2.0,61.5,6.9,PhD,Clubs,No,28.0
Male,4.6,4.8,19.3,8.1,Bachelor,Multiple,Yes,15.4
Other,10.2,3.1,60.6,7.6,High School,Arts,Yes,59.2
Female,4.8,6.8,67.7,7.2,High School,None,No,28.3
Female,0.9,7.6,52.6,6.8,Bachelor,Multiple,No,19.5
Male,6.5,7.1,71.8,5.8,Bachelor,Multiple,Yes,33.7
Female,10.3,2.2,58.1,5.7,High School,Multiple,No,62.5
Male,7.1,1.6,94.8,7.0,High School,Clubs,No,63.3
Other,2.7,3.8,5.4,5.0,Master,Arts,No,12.5
Male,4.6,0.1,10.6,6.0,None,None,Yes,26.3
Male,5.4,0.2,17.4,5.9,Master,Clubs,No,45.6
Male,7.0,4.4,69.0,7.5,Bachelor,None,No,49.2
Male,9.1,4.2,64.6,4.4,Bachelor,Sports,Yes,55.8
Other,1.2,8.0,89.2,9.0,High School,Arts,No,24.0
Other,10.7,1.6,73.3,7.4,None,Arts,No,70.2
Female,0.1,2.1,50.8,8.0,Master,None,No,20.9
Other,4.4,0.9,99.2,8.2,High School,Clubs,No,58.5
Other,0.3,7.3,26.6,5.7,High School,Multiple,Yes,10.0
Female,4.7,6.2,83.3,6.8,Bachelor,Clubs,No,41.5
Other,6.3,6.6,42.7,9.7,High School,Arts,No,30.1
Male,6.1,7.2,64.9,8.6,Bachelor,Multiple,No,55.1
Male,2.0,4.2,72.7,9.8,Master,None,No,25.1
Female,7.7,3.6,63.4,8.5,Bachelor,Clubs,Yes,48.6
Female,0.5,2.6,14.1,5.1,PhD,None,No,10.0
Female,9.1,4.7,44.3,4.4,Master,Sports,Yes,44.4
Male,11.4,3.6,56.1,7.5,High School,Arts,Yes,74.3
Other,4.1,3.6,84.9,6.1,High School,Clubs,No,39.1
Male,6.2,7.5,44.4,5.7,Bachelor,None,No,25.8
Female,4.5,7.9,91.9,8.8,Bachelor,Sports,Yes,42.1
Other,0.1,6.4,44.0,6.2,High School,Arts,No,10.0
Other,4.6,6.1,54.9,5.9,PhD,Arts,No,37.2
Male,9.5,5.4,79.6,9.1,Bachelor,Arts,No,60.1
Female,7.2,1.3,58.3,9.1,High School,Sports,No,59.8
Male,1.2,0.5,96.0,6.1,Bachelor,Arts,Yes,39.3
Other,10.2,5.5,66.0,9.0,High School,None,Yes,64.2
Male,6.4,5.8,52.3,9.1,Master,None,No,32.8
Male,10.1,0.4,2.4,6.5,Bachelor,Arts,Yes,59.2
Female,7.0,7.4,41.4,4.4,None,Clubs,Yes,22.4
Female,6.7,0.7,29.9,4.0,High School,None,No,44.6
Other,1.3,2.3,74.8,7.1,Master,None,No,39.6
Male,2.0,5.4,20.8,6.1,Bachelor,Arts,No,10.7
Male,11.7,1.4,20.5,10.0,PhD,Sports,Yes,66.7
Male,2.7,0.4,19.0,8.6,High School,Sports,No,25.0
Other,11.7,2.6,12.6,8.6,High School,Sports,No,66.2
Other,6.4,6.1,31.1,9.7,High School,None,Yes,22.7
Female,1.6,3.3,88.6,9.3,Bachelor,None,No,26.6
Female,1.2,5.2,77.5,5.9,High School,Multiple,Yes,17.9
Female,2.5,4.6,73.5,5.0,High School,Clubs,No,24.5
Male,11.1,0.2,79.7,8.5,Bachelor,Clubs,No,81.7
Male,5.0,7.9,26.9,6.3,Bachelor,Arts,No,21.4
Female,4.7,0.3,88.7,6.8,High School,Clubs,Yes,52.2
Male,3.8,7.7,13.7,7.8,Bachelor,Multiple,Yes,10.0
Female,1.8,4.4,33.6,9.4,Bachelor,Clubs,No,14.5
Other,5.9,7.7,58.7,6.5,High School,Sports,No,36.5
Female,1.6,0.9,10.3,8.7,High School,Arts,Yes,21.2
Other,10.0,3.9,73.0,5.6,High School,Sports,Yes,49.7
Male,4.4,1.4,38.7,8.2,Bachelor,Arts,No,33.2
Female,4.5,0.4,78.4,4.0,Master,Arts,No,49.3
Male,5.7,4.9,49.3,9.2,High School,Multiple,Yes,24.2
Other,5.3,1.7,18.1,4.2,High School,Clubs,No,20.2
Other,11.9,4.7,73.5,8.3,Master,None,No,75.1
Other,6.5,0.9,25.2,4.3,PhD,None,No,38.5
Male,1.1,2.7,49.1,5.6,Bachelor,Sports,No,11.2
Male,7.3,6.3,7.6,7.0,PhD,None,No,29.2
Male,1.8,3.5,61.8,6.5,Bachelor,Sports,Yes,22.8
Male,0.4,5.0,66.6,5.2,Bachelor,Sports,Yes,10.0
Other,11.6,5.2,37.9,6.0,High School,Sports,No,50.4
Other,9.3,6.8,95.4,8.4,Bachelor,Multiple,No,67.9
Female,11.8,2.6,87.4,8.0,High School,Sports,No,90.2
Female,5.7,5.5,70.8,4.4,Master,Sports,No,44.4
Male,6.4,7.7,71.4,8.5,PhD,None,No,52.4
Other,2.0,5.8,25.2,4.3,Bachelor,Arts,Yes,10.0
Other,3.0,3.9,65.7,7.3,High School,None,No,24.7
Other,10.1,5.0,19.8,5.6,High School,Arts,No,40.5
Female,4.3,5.9,14.4,7.5,High School,None,Yes,19.5
Female,9.9,4.9,99.9,5.6,High School,Arts,No,67.5
Other,8.5,0.1,62.2,9.9,Bachelor,Clubs,No,53.0
Other,2.1,1.6,43.1,5.9,PhD,None,No,30.0
Other,6.1,6.5,28.8,5.5,None,Sports,Yes,17.4
Female,8.1,2.2,60.4,5.7,None,Arts,Yes,49.6
Other,2.8,5.9,5.0,9.4,Bachelor,Clubs,No,10.0
Other,10.0,3.0,9.5,7.8,High School,Arts,No,41.6
Male,6.5,4.2,3.3,8.4,Master,Arts,Yes,34.6
Male,2.0,0.5,49.9,9.5,High School,Clubs,No,25.3
Female,7.0,1.4,60.1,9.5,High School,Arts,No,40.8
Other,12.0,7.7,6.2,8.4,High School,Sports,No,44.2
Other,1.8,7.1,72.1,5.2,High School,None,No,16.6
Male,9.8,5.2,23.0,9.1,Bachelor,Clubs,No,43.1
Female,2.5,3.7,68.5,5.2,High School,Multiple,Yes,25.3
Male,9.4,5.4,98.2,8.5,Bachelor,Multiple,No,68.8
Male,8.8,4.9,69.1,8.1,Bachelor,Multiple,No,68.2
Male,3.6,4.5,88.3,8.6,None,Clubs,Yes,35.7
Male,3.9,0.5,94.8,7.2,None,Arts,No,39.1
Other,9.5,5.1,48.7,7.8,Bachelor,Clubs,No,57.7
Other,5.5,6.2,70.2,9.7,Bachelor,Sports,No,38.2
Male,8.8,8.0,85.2,4.6,PhD,Arts,No,55.0
Female,1.8,0.1,35.7,5.9,High School,Sports,No,17.6
Female,10.2,5.8,26.1,7.7,High School,Sports,No,40.3
Female,8.5,4.6,94.7,9.8,High School,Clubs,Yes,51.4
Female,10.9,3.5,72.6,4.6,Bachelor,Arts,No,63.4
Male,1.6,1.0,22.0,4.1,Bachelor,Sports,No,10.8
Other,7.1,3.3,44.9,4.3,Master,Sports,Yes,43.6
Female,7.2,2.8,79.6,4.3,Bachelor,Multiple,No,53.0
Male,4.2,2.4,54.7,9.4,High School,Clubs,No,37.0
Female,5.5,5.8,65.0,8.3,Bachelor,Arts,No,41.4
Female,0.5,5.6,75.4,8.1,Master,Sports,Yes,29.5
Male,9.0,4.7,62.2,7.1,High School,Sports,No,58.0
Other,6.6,7.5,54.0,8.7,Bachelor,None,Yes,37.2
Other,0.7,2.8,75.0,4.9,PhD,Arts,No,22.6
Male,8.2,2.0,72.8,6.4,Bachelor,Clubs,No,55.1
Other,5.6,5.2,63.0,6.9,Bachelor,Sports,No,40.3
Male,0.4,1.6,36.0,4.7,High School,Sports,No,17.6
Male,11.6,2.5,40.6,6.5,Bachelor,None,Yes,59.6
Male,11.4,1.8,97.0,5.9,High School,Arts,No,73.0
Other,6.2,0.6,11.2,4.2,Bachelor,None,No,30.6
Male,1.1,6.6,26.9,4.8,High School,Arts,No,10.0
Female,9.1,2.0,49.2,8.6,Master,Arts,No,68.6
Other,5.9,3.8,83.7,4.1,Master,Clubs,Yes,51.8
Other,3.6,0.3,16.4,9.6,Bachelor,Arts,Yes,10.1
Other,5.9,5.6,27.7,4.5,High School,Sports,Yes,16.0
Other,6.3,2.6,6.6,8.8,None,Arts,No,27.2
Female,6.8,6.0,70.6,9.4,Master,Clubs,Yes,47.2
Other,5.3,3.3,23.8,9.6,Bachelor,None,Yes,25.5
Other,7.3,1.6,38.9,9.2,Bachelor,Arts,No,48.8
Male,11.0,4.1,44.4,5.7,High School,Multiple,No,45.5
Other,4.3,1.0,89.1,6.0,Bachelor,Sports,No,57.4
Female,8.7,3.5,41.1,6.6,Bachelor,Arts,No,55.1
Female,10.7,2.5,14.5,4.8,Bachelor,Clubs,No,45.9
Female,5.5,7.3,52.4,4.1,Bachelor,Arts,No,26.4
Female,5.3,0.5,96.3,9.2,Master,Clubs,No,53.1
Other,7.2,5.6,60.8,7.3,High School,Sports,No,46.4
Other,7.1,1.5,98.3,7.7,High School,Sports,Yes,66.0
Female,9.7,2.6,84.1,9.6,Bachelor,Clubs,Yes,70.7
Female,5.7,3.3,3.6,8.0,High School,Clubs,Yes,20.9
Other,12.0,7.3,65.8,8.1,Master,Multiple,No,69.7
Female,0.7,1.9,28.7,8.7,Bachelor,Sports,No,13.6
Male,0.0,0.7,56.0,4.7,Master,Arts,No,23.5
Female,7.7,2.5,27.9,6.2,Bachelor,Sports,Yes,35.1
Female,3.6,0.8,34.9,9.8,High School,None,No,25.4
Male,2.9,1.0,92.3,9.5,High School,Sports,No,32.5
Male,3.7,4.6,20.7,9.3,Master,Sports,No,17.9
Other,3.1,0.5,87.4,6.7,High School,Sports,Yes,47.4
Other,0.4,0.2,3.0,9.1,Bachelor,Sports,Yes,10.0
Male,11.7,5.7,9.1,4.3,Master,Sports,No,48.8
Male,2.6,2.9,85.5,4.9,High School,Multiple,No,27.6
Other,8.8,1.0,63.1,6.5,High School,Clubs,Yes,58.4
Female,9.2,2.0,74.7,6.9,Bachelor,None,Yes,55.6
Male,11.2,5.1,20.9,5.6,Master,Multiple,No,54.9
Other,0.4,2.2,53.7,6.1,High School,Arts,No,16.1
Female,10.5,4.0,73.7,5.0,PhD,Multiple,Yes,65.0
Male,6.3,1.0,62.7,6.9,Bachelor,Sports,No,52.8
Female,7.6,4.7,47.2,8.8,PhD,Arts,No,43.2
Other,7.7,2.5,96.0,8.0,High School,Multiple,No,64.1
Male,9.8,5.0,67.6,4.6,High School,Sports,No,54.2
Female,4.0,6.5,90.8,6.9,Master,Multiple,No,42.0
Male,8.8,4.9,73.0,8.2,Master,Clubs,No,74.5
Female,6.3,2.4,73.5,7.2,Bachelor,Multiple,No,63.9
Other,9.5,2.0,8.0,6.4,Bachelor,Sports,No,49.4
Other,11.9,2.6,35.9,7.7,Master,Sports,No,66.9
Male,2.4,1.3,85.8,9.8,None,Sports,No,29.7
Female,11.9,1.4,23.3,4.6,Bachelor,Multiple,No,65.3
Male,1.1,6.3,11.6,6.3,Master,Sports,Yes,10.0
Male,0.0,3.1,32.6,6.4,High School,Arts,No,13.9
Female,0.5,3.5,22.0,7.5,High School,Sports,No,10.6
Female,4.1,4.8,92.5,4.9,Master,Sports,No,42.1
Female,7.6,4.7,86.8,5.1,High School,None,No,57.6
Other,0.8,0.5,50.0,5.7,None,Arts,Yes,10.0
Male,0.1,6.7,6.1,9.7,PhD,Clubs,No,10.0
Male,11.2,1.4,71.5,8.4,Bachelor,None,No,81.6
Other,9.9,5.8,62.3,8.0,Master,Multiple,No,81.1
Female,9.7,6.2,97.1,8.9,Master,Clubs,No,69.5
Other,10.6,5.7,55.9,4.8,High School,Arts,Yes,57.2
Other,8.4,4.6,33.6,9.2,High School,Arts,No,38.5
Other,1.3,0.1,51.9,7.6,High School,Sports,No,28.9
Male,4.8,2.9,97.9,6.0,High School,Sports,No,51.2
Other,8.7,4.8,69.6,8.9,Bachelor,Clubs,No,61.1
Male,3.4,3.1,67.2,8.8,Bachelor,Sports,No,35.2
Male,8.2,6.9,24.1,9.1,Bachelor,Arts,No,30.3
Male,0.3,2.5,74.4,4.7,High School,None,Yes,15.3
Female,3.7,2.3,75.0,9.8,High School,Clubs,No,33.1
Male,6.6,2.1,31.7,9.8,Bachelor,Sports,No,39.8
Male,7.6,2.7,48.4,6.1,Bachelor,Arts,No,48.3
Female,6.9,4.5,29.5,4.4,High School,None,No,31.9
Male,8.4,5.7,25.9,5.0,Bachelor,Multiple,No,38.2
Other,0.1,5.3,2.6,10.0,High School,Sports,No,10.0
Other,1.2,6.5,28.5,7.4,High School,Arts,No,10.0
Male,10.4,7.1,55.4,6.1,Bachelor,Arts,No,60.3
Female,8.2,6.5,0.2,5.7,None,Clubs,Yes,14.8
Other,1.4,0.2,28.3,5.5,Bachelor,Sports,No,16.4
Female,10.1,5.9,88.1,8.0,High School,Clubs,No,64.8
